行 24: 控件 SSTab1 的类 TabDlg.SSTab 不是一个已加载的控件类。
行 30: 属性名 _ExtentX 在 SSTab1 中是无效的。
行 31: 属性名 _ExtentY 在 SSTab1 中是无效的。
行 32: 属性名 _Version 在 SSTab1 中是无效的。
行 33: 属性名 Tabs 在 SSTab1 中是无效的。
行 34: 属性名 Tab 在 SSTab1 中是无效的。
行 35: 属性名 TabsPerRow 在 SSTab1 中是无效的。
行 36: 属性名 TabHeight 在 SSTab1 中是无效的。
行 46: 属性名 TabCaption(0) 在 SSTab1 中是无效的。
行 47: 属性名 TabPicture(0) 在 SSTab1 中是无效的。
行 48: 属性名 Tab(0).ControlEnabled 在 SSTab1 中是无效的。
行 49: 属性名 Tab(0).Control(0) 在 SSTab1 中是无效的。
行 50: 属性名 Tab(0).Control(1) 在 SSTab1 中是无效的。
行 51: 属性名 Tab(0).ControlCount 在 SSTab1 中是无效的。
行 52: 属性名 TabCaption(1) 在 SSTab1 中是无效的。
行 53: 属性名 TabPicture(1) 在 SSTab1 中是无效的。
行 54: 属性名 Tab(1).ControlEnabled 在 SSTab1 中是无效的。
行 55: 属性名 Tab(1).Control(0) 在 SSTab1 中是无效的。
行 56: 属性名 Tab(1).Control(0).Enabled 在 SSTab1 中是无效的。
行 57: 属性名 Tab(1).Control(1) 在 SSTab1 中是无效的。
行 58: 属性名 Tab(1).Control(1).Enabled 在 SSTab1 中是无效的。
行 59: 属性名 Tab(1).ControlCount 在 SSTab1 中是无效的。
行 60: 属性名 TabCaption(2) 在 SSTab1 中是无效的。
行 61: 属性名 TabPicture(2) 在 SSTab1 中是无效的。
行 62: 属性名 Tab(2).ControlEnabled 在 SSTab1 中是无效的。
行 63: 属性名 Tab(2).Control(0) 在 SSTab1 中是无效的。
行 64: 属性名 Tab(2).Control(0).Enabled 在 SSTab1 中是无效的。
行 65: 属性名 Tab(2).ControlCount 在 SSTab1 中是无效的。
行 66: 属性名 TabCaption(3) 在 SSTab1 中是无效的。
行 67: 属性名 TabPicture(3) 在 SSTab1 中是无效的。
行 68: 属性名 Tab(3).ControlEnabled 在 SSTab1 中是无效的。
行 69: 属性名 Tab(3).Control(0) 在 SSTab1 中是无效的。
行 70: 属性名 Tab(3).Control(1) 在 SSTab1 中是无效的。
行 71: 属性名 Tab(3).Control(2) 在 SSTab1 中是无效的。
行 72: 属性名 Tab(3).ControlCount 在 SSTab1 中是无效的。
行 73: 属性名 TabCaption(4) 在 SSTab1 中是无效的。
行 74: 属性名 TabPicture(4) 在 SSTab1 中是无效的。
行 75: 属性名 Tab(4).ControlEnabled 在 SSTab1 中是无效的。
行 76: 属性名 Tab(4).Control(0) 在 SSTab1 中是无效的。
行 77: 属性名 Tab(4).ControlCount 在 SSTab1 中是无效的。
